week_start,week_end,funding_scenario,cost_scenario,weekly_funding,jitosol_yield,weekly_cost,carry_B1,carry_B2,carry_B3,actual_data
2024-03-15,2024-03-22,bearish,optimistic,0.0005753424657534246,0.0014481965046392277,0.00023094688221709007,0.00034439558353633454,0.001792592088175562,0.001292592088175562,False
2024-03-22,2024-03-29,bearish,optimistic,0.0005753424657534246,0.0041074025031809,0.00023094688221709007,0.00034439558353633454,0.004451798086717235,0.003951798086717235,False
2024-03-29,2024-04-05,bearish,optimistic,0.0005753424657534246,0.002648582226448624,0.00023094688221709007,0.00034439558353633454,0.0029929778099849584,0.0024929778099849584,False
2024-04-05,2024-04-12,bearish,optimistic,0.0005753424657534246,0.0011034971525876022,0.00023094688221709007,0.00034439558353633454,0.0014478927361239369,0.0009478927361239369,False
2024-04-12,2024-04-19,bearish,optimistic,0.0005753424657534246,-0.0010682602273821879,0.00023094688221709007,0.00034439558353633454,-0.0007238646438458533,-0.0012238646438458532,False
2024-04-19,2024-04-26,bearish,optimistic,0.0005753424657534246,0.003923427690081678,0.00023094688221709007,0.00034439558353633454,0.004267823273618012,0.0037678232736180124,False
2024-04-26,2024-05-03,bearish,optimistic,0.0005753424657534246,0.0009156731322675757,0.00023094688221709007,0.00034439558353633454,0.0012600687158039103,0.0007600687158039103,False
2024-05-03,2024-05-10,bearish,optimistic,0.0005753424657534246,0.0021280026154261006,0.00023094688221709007,0.00034439558353633454,0.002472398198962435,0.001972398198962435,False
2024-05-10,2024-05-17,bearish,optimistic,0.0005753424657534246,0.0009290057729667607,0.00023094688221709007,0.00034439558353633454,0.0012734013565030952,0.0007734013565030952,False
2024-05-17,2024-05-24,bearish,optimistic,0.0005753424657534246,0.001977952549894984,0.00023094688221709007,0.00034439558353633454,0.002322348133431318,0.0018223481334313182,False
2024-05-24,2024-05-31,bearish,optimistic,0.0005753424657534246,0.0011369767599494565,0.00023094688221709007,0.00034439558353633454,0.0014813723434857911,0.0009813723434857911,False
2024-05-31,2024-06-07,bearish,optimistic,0.0005753424657534246,0.0018067523916308456,0.00023094688221709007,0.00034439558353633454,0.0021511479751671805,0.0016511479751671805,False
2024-06-07,2024-06-14,bearish,optimistic,0.0005753424657534246,0.0013038991677127854,0.00023094688221709007,0.00034439558353633454,0.0016482947512491198,0.0011482947512491198,False
2024-06-14,2024-06-21,bearish,optimistic,0.0005753424657534246,0.016444488722321404,0.00023094688221709007,0.00034439558353633454,0.01678888430585774,0.01628888430585774,False
2024-06-21,2024-06-28,bearish,optimistic,0.0005753424657534246,-0.0028939764152242802,0.00023094688221709007,0.00034439558353633454,-0.002549580831687946,-0.003049580831687946,False
2024-06-28,2024-07-05,bearish,optimistic,0.0005753424657534246,-0.014462426894579994,0.00023094688221709007,0.00034439558353633454,-0.01411803131104366,-0.01461803131104366,False
2024-07-05,2024-07-12,bearish,optimistic,0.0005753424657534246,0.00728382647179493,0.00023094688221709007,0.00034439558353633454,0.007628222055331264,0.007128222055331264,False
2024-07-12,2024-07-19,bearish,optimistic,0.0005753424657534246,0.001865101549920605,0.00023094688221709007,0.00034439558353633454,0.0022094971334569394,0.0017094971334569394,False
